"","county","state","msa","pmsa","pop.density","pop","pop.change","age6574","age75","crime","college","income","farm","democrat","republican","Perot","white","black","turnout"
"12","Choctaw","AL",NA,NA,18,16018,-4.19999981,7.5,6.4000001,419,8.5,23609,3.4000001,52.0999985,40.5999985,6.5,55.6436501,44.1815453,47.1969032
"13","Clarke","AL",NA,NA,22,27240,0.100000001,7.0999999,6,3828,10.8000002,23080,1.70000005,42.9000015,46.9000015,7.4000001,57.0007324,42.6762123,43.0139503
"14","Clay","AL",NA,NA,22,13252,-2.70000005,8.60000038,8.30000019,298,7.30000019,24145,4.19999981,36,49.7000008,11.3000002,83.3383636,16.3447018,43.4274063
"15","Cleburne","AL",NA,NA,23,12730,3.0999999,7.69999981,5.69999981,1623,6.5,25900,4.69999981,40.9000015,46.2999992,12,94.9253769,4.61115456,41.1390419
"16","Coffee","AL",NA,NA,61,40240,6.80000019,7.5999999,5.5999999,2582,16.5,27653,3.5,37.2000008,48.9000015,13,81.267395,17.1893635,38.6008949
"17","Colbert","AL",2650,NA,88,51666,-3.79999995,9,5.69999981,3441,11.5,27862,1.39999998,54.4000015,36,9.30000019,82.8784866,16.5834389,43.4308815
"18","Conecuh","AL",NA,NA,17,14054,-11.1999998,9.30000019,8,2306,6.4000001,21231,2.5999999,50,39.0999985,8.80000019,57.3715668,42.1588173,44.8769035
"19","Coosa","AL",NA,NA,17,11063,-2.5999999,8.30000019,6.19999981,3019,6.30000019,23472,4.30000019,48.5999985,41.0999985,9.89999962,65.4614487,34.1860237,43.3697929
"20","Covington","AL",NA,NA,36,36478,-0.200000003,9.5,7.69999981,6519,9.10000038,23257,4,35.7999992,49,13.5,86.4932251,13.0955648,38.2751236
"21","Crenshaw","AL",NA,NA,22,13635,-4.5999999,10,8.30000019,2114,8.39999962,21368,6.5999999,45.4000015,44.2000008,9.19999981,73.6927032,25.9919319,38.7972145
"22","Cullman","AL",NA,NA,94,67613,13.1999998,8.19999981,6.19999981,2390,7.80000019,25856,4.19999981,36,49.5999985,14.1999998,98.7147446,0.828243077,42.9547577
"23","Dale","AL",2180,NA,89,49633,4.4000001,5.5,3.9000001,2242,13.5,27585,1.5,32.2999992,51.5,15.3000002,79.312149,17.8248348,31.8074665
"24","Dallas","AL",NA,NA,49,48130,-11,7.5,6.19999981,7685,12.1999998,20517,0.800000012,56.4000015,37.7000008,5.69999981,41.8055267,57.8121758,40.7313538
"25","De Kalb","AL",NA,NA,72,54651,4.19999981,8.19999981,6.4000001,1248,7.0999999,24836,5.19999981,38.2000008,48.7000008,12.6999998,96.9424133,1.88102686,39.4960747
"26","Elmore","AL",5240,NA,84,49210,21,6.69999981,5,3990,12.8000002,30853,2,30.5,55.7000008,13.6000004,76.9152603,22.4324322,41.430603
"27","Escambia","AL",NA,NA,38,35518,-6.30000019,7.5999999,6.30000019,1297,7.5999999,22858,1.5,37.5,46.4000015,12.6000004,68.4892197,28.2842503,36.1056366
"28","Etowah","AL",2880,NA,187,99840,-3.0999999,9.39999962,6.5,6506,10.1999998,27071,0.899999976,48.4000015,41.0999985,10.1000004,85.4106598,13.8211136,42.5190315
"29","Fayette","AL",NA,NA,29,17962,-4.0999999,8.60000038,7.69999981,1964,8.5,26002,1.70000005,45.2000008,42.5999985,11.8999996,87.5013885,12.1924067,47.1551056
"30","Franklin","AL",NA,NA,45,27814,0.400000006,8.60000038,6.80000019,1528,6.9000001,22755,4.0999999,50.2000008,40.4000015,9.10000038,95.1427307,4.49054432,42.6332054
"31","Geneva","AL",NA,NA,42,23647,-0.899999976,9.19999981,7.5999999,1254,6.80000019,24989,5.80000019,36.7000008,49.0999985,13.3999996,87.4614105,11.942318,41.726223
"32","Greene","AL",NA,NA,16,10153,-7.4000001,7.4000001,8.19999981,4049,10.3999996,15663,4.69999981,79.1999969,16.5,4,19.3637352,80.5771713,48.0744591
"33","Hale","AL",NA,NA,25,15498,1.60000002,8.30000019,7.69999981,1645,8.89999962,18272,4.5999999,57.7999992,33.2000008,8.10000038,40.3600464,59.4528313,38.8630791
"34","Henry","AL",NA,NA,28,15374,1.70000005,9,7.30000019,3471,8.19999981,27554,3.9000001,43.0999985,45.7000008,10.3000002,64.5115128,35.091713,42.2726669
"35","Houston","AL",2180,NA,144,81331,11.6999998,7.30000019,5.0999999,8269,15,29818,1.5,29.7999992,58.2999992,11.6999998,75.6329041,23.3047676,36.5912132
"36","Jackson","AL",NA,NA,45,47796,-4.69999981,7.5,5.0999999,2465,8,25772,2.5999999,56.2000008,30.2000008,13,93.5140991,4.11749935,39.5765343
"37","Jefferson","AL",1000,NA,591,651525,-2,8,6,8487,19.8999996,31609,0.100000001,42.0999985,50.0999985,7.4000001,64.2058258,35.0747871,45.874527
"38","Lamar","AL",NA,NA,26,15715,-5.0999999,8.19999981,7.5,0,6.19999981,25506,3.20000005,41.2999992,47.2999992,11.1000004,87.8460083,11.8485527,43.8943672
"39","Lauderdale","AL",2650,NA,122,79661,1.60000002,8.39999962,5.9000001,3419,16.3999996,29589,2,47.2000008,40.7000008,11.8999996,89.830658,9.65968323,42.3745613
"40","Lawrence","AL",2030,NA,46,31513,6.80000019,7,4.9000001,1601,6.19999981,25478,4.69999981,54.9000015,30.8999996,14,77.94561,15.2254629,36.7752991
"41","Lee","AL",NA,NA,148,87146,17.7999992,5,3.5999999,4879,25.2999992,32596,1.10000002,38.7999992,47.5999985,12.8999996,74.4600983,23.4170246,40.724762
"42","Limestone","AL",3440,NA,100,54135,23.5,6.5,4.80000019,1922,13.8000002,31739,2.4000001,37.4000015,45.7000008,16.6000004,86.1882324,13.1652355,39.8947067
"43","Lowndes","AL",NA,NA,18,12658,-4.19999981,6.69999981,6,2108,8.19999981,18535,4.5999999,68,25.7999992,5.5,25.161953,74.703743,40.6699333
"44","Macon","AL",NA,NA,40,24928,-9,8.39999962,6.9000001,6252,18,20096,2.79999995,82.8000031,12.8999996,3.20000005,13.8117781,85.6065445,35.149231
"45","Madison","AL",3440,NA,312,238912,27.5,5.5999999,3.29999995,2752,30.1000004,39264,0.600000024,36.0999985,47.7000008,15.8000002,77.098259,20.1396332,45.1354485
"46","Marengo","AL",NA,NA,24,23084,-7.30000019,7.69999981,6.9000001,3680,11.5,23015,1.89999998,50.0999985,39.7999992,8.19999981,49.0123024,50.8793983,48.7090607
"47","Marion","AL",NA,NA,40,29830,-1.20000005,8.19999981,7,955,6.69999981,22394,2.29999995,46.5,42.9000015,10.5,96.4096527,3.24170303,44.4854164
"48","Marshall","AL",NA,NA,130,70832,12,8.10000038,5.9000001,3147,11.5,26135,2.20000005,39,45.7999992,14.1999998,97.9232559,1.53461707,37.7188263
"49","Mobile","AL",5160,NA,316,378643,6.5999999,7,4.80000019,11758,15.5,27601,0.400000006,38.2000008,50.7000008,10.5,67.3069382,31.1301155,37.974556
"50","Monroe","AL",NA,NA,23,23968,6,7.0999999,6.0999999,2684,10.8000002,26413,3.70000005,39.7000008,50.5,7.80000019,59.7463303,39.1021347,40.6583786
"51","Montgomery","AL",5240,NA,272,209085,9.10000038,6.69999981,4.9000001,8218,24.2000008,32351,0.400000006,43.2999992,47.2999992,8.89999962,57.1155281,41.7590942,41.2042961
"52","Morgan","AL",2030,NA,178,100043,15,6.9000001,4.80000019,4645,15.5,32912,1.39999998,34.2999992,47.9000015,17.5,89.0836945,10.0766668,43.9590988
"53","Perry","AL",NA,NA,17,12759,-18.5,7.69999981,8.10000038,3593,11.5,16404,3.9000001,63.9000015,31.5,3.70000005,35.2927361,64.4172745,45.5599976
"54","Pickens","AL",NA,NA,24,20699,-2.5999999,8.69999981,7.69999981,1872,6.5999999,22474,2.4000001,46.5,44.5999985,8.5,57.9834785,41.7653046,39.3352318
"55","Pike","AL",NA,NA,42,27595,0,7.69999981,6.9000001,2364,14.3000002,23735,3,41.9000015,48.4000015,9.10000038,64.5551758,34.6004715,40.5616951
"56","Randolph","AL",NA,NA,35,19881,0.699999988,9.19999981,7.4000001,2465,7.69999981,23994,3.5999999,40.7000008,46.7999992,11.3000002,76.1430511,23.5702438,41.0039749
"57","Russell","AL",1800,NA,77,46860,3.9000001,7.5999999,5.0999999,6297,8.19999981,24642,1.20000005,55.0999985,35.5999985,8.69999981,60.7618446,38.6000862,33.4805794
"58","St. Clair","AL",1000,NA,84,50009,29.2999992,7.0999999,4.5,1535,8.5,27388,1.60000002,30.1000004,57.5999985,12.1000004,90.2597504,9.12035847,43.2402153
"59","Shelby","AL",1000,NA,135,99358,61.7999992,4.5999999,3,1433,29,42549,0.800000012,21.3999996,68,10.3999996,91.3011551,7.76786995,48.4762192
"60","Sumter","AL",NA,NA,18,16174,-4.0999999,7.4000001,7.19999981,1655,11.1000004,17881,3.20000005,68.5,25.7000008,5.5,29.4237671,70.2918243,43.4339066
"61","Talladega","AL",NA,NA,102,74107,1.79999995,7.5999999,5.30000019,5857,10.1999998,25225,0.899999976,40.7000008,48.2000008,10,68.7789307,30.7298908,35.4406471
"62","Tallapoosa","AL",NA,NA,55,38826,1.29999995,9.10000038,7,3151,11.5,27247,1.29999995,36.9000015,52.7000008,10.1000004,73.3863907,26.3019619,39.8083763
"63","Tuscaloosa","AL",8600,NA,116,150522,11.6999998,6.5999999,4.80000019,8125,20,30135,0.5,40.5,47.2999992,12.1000004,72.6790771,26.1602955,38.5810699
"64","Walker","AL",NA,NA,86,67670,-0.400000006,8.19999981,6.19999981,2648,7.19999981,25322,1.20000005,50.2000008,38.2999992,11.3000002,93.1609268,6.5095315,43.6441536
"65","Washington","AL",NA,NA,16,16694,0.300000012,6.69999981,5.30000019,0,6.69999981,23818,3.4000001,49.5999985,40.0999985,10.1999998,65.7960968,27.692585,48.891819
"66","Wilcox","AL",NA,NA,15,13568,-7.30000019,8.30000019,7.5,503,10.3000002,15306,4.9000001,64.8000031,31.5,3.29999995,30.9772987,68.9342575,39.09198
"67","Winston","AL",NA,NA,36,22053,1.70000005,8.19999981,5.9000001,1047,5.4000001,22023,3.70000005,33.7999992,55,11,99.4195786,0.25846824,45.7488785
"68","Aleutians East","AK",NA,NA,0,2464,62.5,2.0999999,0.300000012,0,12.8999996,47188,0,NA,NA,NA,33.5633125,0.649350643,NA
"69","Aleutians West","AK",NA,NA,2,9478,47.0999985,0.600000024,0.300000012,0,14.8000002,34020,0,NA,NA,NA,67.1027679,6.98459578,NA
"70","Anchorage","AK",380,NA,145,226338,41,2.70000005,1,6725,26.8999996,50098,0,NA,NA,NA,80.7358932,6.42578793,NA
"71","Bethel","AK",NA,NA,0,13656,30.3999996,3,1.79999995,1466,13.1000004,25570,0,NA,NA,NA,15.4144697,0.454012901,NA
"72","Bristol Bay","AK",NA,NA,3,1410,32.9000015,2.20000005,0.800000012,5476,18.8999996,57100,0,NA,NA,NA,63.4042549,2.69503546,NA
"73","Dillingham","AK",NA,NA,0,4012,32.2000008,3.20000005,1.89999998,0,15.3000002,30365,0,NA,NA,NA,25.3988037,0.199401796,NA
"74","Fairbanks North Star","AK",NA,NA,11,77720,52.9000015,2.29999995,1,8931,25.2000008,41729,0.100000001,NA,NA,NA,82.0265045,7.14487886,NA
"75","Haines","AK",NA,NA,1,2117,23.8999996,6.0999999,2.5,4134,17.6000004,44141,0,NA,NA,NA,85.1204529,0.0472366549,NA
"76","Juneau","AK",NA,NA,11,26751,45.2000008,3.29999995,1.79999995,4040,30.7000008,54088,0,NA,NA,NA,80.6324997,1.09154797,NA
"77","Kenai Peninsula","AK",NA,NA,3,40802,72,3.70000005,1.29999995,7167,17.8999996,48339,0.400000006,NA,NA,NA,90.8999557,0.497524619,NA
"78","Ketchikan Gateway","AK",NA,NA,12,13828,24.5,4.19999981,2.4000001,0,20.2000008,51716,0,NA,NA,NA,81.8339615,0.397743702,NA
"79","Kodiak Island","AK",NA,NA,2,13309,43.2999992,2.20000005,1,9204,21.5,47600,0.300000012,NA,NA,NA,69.7948761,1.01435125,NA
"80","Lake and Peninsula","AK",NA,NA,0,1668,24.7000008,3.5,1.60000002,0,14.3999996,26630,0.400000006,NA,NA,NA,23.3213425,0,NA
"81","Matanuska-Susitna","AK",NA,NA,2,39683,152.199997,3.29999995,1.39999998,9936,18.1000004,45252,1.29999995,NA,NA,NA,93.1103973,0.773631036,NA
"82","Nome","AK",NA,NA,0,8288,30.8999996,3,2.0999999,1627,13.8000002,29795,0,NA,NA,NA,24.408783,0.108590737,NA
"83","North Slope","AK",NA,NA,0,5979,55.5999985,2.0999999,1.20000005,4536,14.1000004,53167,0,NA,NA,NA,21.3079109,0.685733378,NA
"84","Northwest Arctic","AK",NA,NA,0,6113,31.5,2.5,2.0999999,8070,11.8999996,33318,0,NA,NA,NA,13.7575655,0.196302965,NA
"85","Prince of Wales-Outer Ketchikan","AK",NA,NA,1,6278,67.6999969,2.4000001,1.10000002,6771,11.3999996,42857,1.10000002,NA,NA,NA,61.4686203,0.143357754,NA
"86","Sitka","AK",NA,NA,3,8588,13.8000002,3.4000001,2.29999995,0,21.3999996,49327,0,NA,NA,NA,74.0451813,0.454122037,NA
"87","Skagway-Yakutat-Angoon","AK",NA,NA,0,4385,23.5,3.5999999,1.79999995,0,15.8000002,43693,0.899999976,NA,NA,NA,60.4104919,0.159635127,NA
"88","Southeast Fairbanks","AK",NA,NA,0,5913,0.400000006,2.5999999,1.20000005,0,19,32121,1.70000005,NA,NA,NA,78.9785233,4.90444803,NA
"89","Valdez-Cordova","AK",NA,NA,0,9952,24.8999996,3.20000005,1.39999998,5947,18.5,52929,0.800000012,NA,NA,NA,82.8677673,0.572749197,NA
"90","Wade Hampton","AK",NA,NA,0,5791,31.7000008,3.0999999,1.39999998,0,10.1999998,22215,0,NA,NA,NA,5.97478867,0.207218096,NA
"91","Wrangell-Petersburg","AK",NA,NA,1,7042,14.1000004,4.5,2.70000005,3599,19.7999992,49083,0,NA,NA,NA,78.7276306,0.156205624,NA
"92","Yukon-Koyukuk","AK",NA,NA,0,8478,6,2.79999995,1.89999998,0,13.8000002,27432,0.400000006,NA,NA,NA,42.2741203,1.03798068,NA
"93","Apache","AZ",NA,NA,6,61591,20.7000008,4,2.70000005,711,8.5,16346,0.699999988,61.4000015,25.1000004,10.8000002,20.2237339,0.162361383,29.6439419
"94","Cochise","AZ",NA,NA,16,97624,18.2999992,8.10000038,4.69999981,4784,16.1000004,26152,0.899999976,38.2999992,36.7999992,23.7000008,81.6643448,5.20158958,33.9568138
"95","Coconino","AZ",NA,NA,6,96591,37.0999985,3.70000005,2,6348,24.6000004,30648,0.100000001,44.2999992,32.2999992,22,64.0183868,1.46908092,44.1221237
"96","Gila","AZ",NA,NA,9,40216,14.3999996,12.1999998,7.19999981,3772,9.69999981,24877,0.400000006,41,31.2999992,25.3999996,76.5267563,0.246170685,45.946888
"97","Graham","AZ",NA,NA,6,26554,20.7000008,7.30000019,5.30000019,2396,11.3000002,21754,1.29999995,35,43,19.2000008,77.5890656,1.89048731,36.5255699
"98","Greenlee","AZ",NA,NA,5,8008,-24.5,7.19999981,4,1974,10.3999996,29945,1.29999995,42.7999992,36.5999985,20,85.35215,0.349650353,49.4755249
"99","La Paz","AZ",NA,NA,3,13844,8.89999962,12.1999998,6.9000001,3856,8.5,18771,1.20000005,36.4000015,32.2000008,30,74.6532822,0.852354825,35.8350182
"100","Maricopa","AZ",6200,NA,240,2122101,46.4000015,7.4000001,5.0999999,8179,22.1000004,36078,0.100000001,32.5999985,41.0999985,25.2999992,84.7942657,3.49922085,41.3190498
"101","Mohave","AZ",4120,NA,8,93497,89.8000031,14.1999998,6.5,6981,10.3000002,27010,0.100000001,32.5999985,33.7000008,31.2999992,95.0126724,0.324074566,43.4409676
"102","Navajo","AZ",NA,NA,8,77658,19.7999992,5.30000019,2.9000001,3943,10,21336,0.200000003,44.2000008,32.4000015,19.3999996,44.0456886,0.905251205,31.7262878
"103","Pima","AZ",8520,NA,75,666880,29.8999996,8.19999981,5.5,8362,23.2999992,30985,0.100000001,45.7000008,34.5,19.2000008,78.7212067,3.11825228,42.2090912
"104","Pinal","AZ",6200,NA,22,116379,32.9000015,8.80000019,4.9000001,5618,8.19999981,23993,0.800000012,42.0999985,31.7999992,25.1000004,74.9439316,3.1345861,31.5684109
"105","Santa Cruz","AZ",NA,NA,26,29676,55.2999992,6.69999981,3.9000001,5409,10.8000002,24431,0.600000024,43.5,37.4000015,17.8999996,74.6697693,0.326863468,27.2273884
"106","Yavapai","AZ",NA,NA,14,107714,70.3000031,15.1999998,8.60000038,3586,17.7000008,26238,0.300000012,30.7000008,39.4000015,27.6000004,95.7220078,0.298011392,55.1599617
"107","Yuma","AZ",9360,NA,21,106895,54.2000008,8.89999962,4.9000001,7861,12.6999998,25648,0.5,37,41.5,20.3999996,75.4965134,2.85888028,26.2360268
"108","Arkansas","AR",NA,NA,22,21653,-11.8000002,9,7.80000019,4664,10.3000002,23091,4.69999981,59,32.5,8,77.661293,21.8814945,36.8540154
"109","Ashley","AR",NA,NA,27,24319,-7.4000001,8,6.5999999,4299,9.30000019,25077,1.70000005,61.4000015,28.1000004,9.69999981,72.0054245,27.2050667,39.3396111
"110","Baxter","AR",NA,NA,58,31186,18.1000004,16.5,12.6999998,1328,10.3999996,21545,1.70000005,44.4000015,35.9000015,18.7000008,99.2881393,0.0128262686,50.445713
"111","Benton","AR",2580,NA,125,97499,35.2000008,10.8999996,7,3568,14.3999996,29887,3.70000005,36.4000015,48.7999992,14.1999998,97.4040756,0.127180785,44.3891716
"112","Boone","AR",NA,NA,49,28297,12,9.19999981,8,1727,10.6999998,24576,5.69999981,42.4000015,42.2000008,14.3999996,99.0847092,0.0176697168,51.0195427
"113","Bradley","AR",NA,NA,18,11793,-16.1000004,9.89999962,8.89999962,3849,9.80000019,21644,1.89999998,61.0999985,30.6000004,8.10000038,67.9386063,30.9336052,41.0158577
"114","Calhoun","AR",NA,NA,9,5826,-5.80000019,8.89999962,7.5999999,1599,7.4000001,25048,2.20000005,51.4000015,38.7000008,9.5,74.7854462,24.836937,46.3783035
"115","Carroll","AR",NA,NA,31,18654,20.3999996,10.1999998,7.9000001,3220,11.6000004,24262,7.80000019,42.5999985,39.9000015,16.8999996,98.7241364,0.0321646817,47.4804344
"116","Chicot","AR",NA,NA,24,15713,-11.6000004,8.10000038,8.10000038,5612,8.30000019,16749,4.5,68.6999969,24.3999996,6.80000019,42.5889397,56.3800659,32.4508362
"117","Clark","AR",NA,NA,25,21437,-8.60000038,8.69999981,8,1184,17.8999996,24098,2.4000001,64.5999985,26.8999996,8,76.242012,22.9183197,41.6196289
"118","Clay","AR",NA,NA,28,18107,-13.3000002,10.8999996,9.80000019,1587,5.19999981,19662,6.9000001,68.5,23.2999992,8,99.5802765,0.0331363566,39.1008987
"119","Cleburne","AR",NA,NA,37,19411,20.2999992,12.3999996,8.5,2410,9.39999962,22318,4.5999999,51,35.9000015,12.6999998,99.3869476,0.0309103094,51.4141464
"120","Cleveland","AR",NA,NA,13,7781,-0.100000001,7.9000001,7,662,7.80000019,24469,4.0999999,56,33.4000015,10,85.862999,13.610076,43.4134445
"121","Columbia","AR",NA,NA,34,25691,-3.4000001,8.5,8.30000019,1420,13.1000004,23360,2.20000005,48.2999992,37.7000008,11.1000004,64.473938,35.0005836,38.2196083
"122","Conway","AR",NA,NA,35,19151,-1.39999998,9.19999981,7.19999981,1330,9.80000019,24659,5,57.7999992,32.0999985,9.5,84.2723618,15.0174923,44.284893
"123","Craighead","AR",NA,NA,100,68956,12.1999998,6.80000019,5.4000001,5275,16.3999996,27168,1.79999995,54.4000015,35.5999985,8.89999962,93.4639511,5.47885609,37.1193237
"124","Crawford","AR",2720,NA,75,42493,20.5,6.80000019,5.0999999,2785,7.5999999,24391,2.0999999,41.2000008,42.5999985,15.1000004,96.425293,0.880144954,38.0415611
"125","Crittenden","AR",4920,NA,81,49939,0.5,6.0999999,4.5,5223,9.80000019,25301,1.10000002,56.5999985,34.5,5,56.372776,42.8542824,34.2577934
"126","Cross","AR",NA,NA,31,19225,-5.69999981,7.5999999,6.30000019,2727,8,21988,4,58.0999985,33,8.60000038,74.6059799,24.8738613,36.3381004
"127","Dallas","AR",NA,NA,14,9614,-9.69999981,9.5,8.80000019,3701,8.80000019,23156,1.10000002,53.7000008,37.0999985,8.80000019,61.0879974,38.4647408,40.8258781
"128","Desha","AR",NA,NA,21,16798,-17.6000004,7.5999999,7.19999981,4655,10.3999996,19786,3.4000001,67.9000015,22.7999992,7,56.5543518,42.4991074,33.4623184
"129","Drew","AR",NA,NA,21,17369,-3.79999995,7.0999999,6.4000001,1267,13.8999996,22913,2.79999995,59.5,30.7999992,9.5,72.1400223,27.3706036,36.2600021
"130","Faulkner","AR",4400,NA,99,60006,39.2999992,6.0999999,4.5999999,4482,17.8999996,28455,2.20000005,51.5999985,37.5999985,9.69999981,91.0642242,7.96253729,42.0207977
"131","Franklin","AR",NA,NA,25,14897,3,9.10000038,7.69999981,1610,8.80000019,22072,6,47.7999992,37,14.6999998,98.3016739,0.664563358,45.2171593
"132","Fulton","AR",NA,NA,16,10037,-0.100000001,12.1999998,9,1649,5.4000001,18072,9.89999962,59.7000008,26.6000004,13.3000002,99.3225098,0.0996313617,47.1854134
"133","Garland","AR",NA,NA,112,73397,7.9000001,12.8999996,9.19999981,5498,14.1999998,25268,0.699999988,52.2999992,35.7999992,9.69999981,90.9710236,7.63518953,49.0415154
"134","Grant","AR",NA,NA,23,13948,10.8000002,7.0999999,5.69999981,2615,9.30000019,28313,1.70000005,51.5,36.7000008,11.3000002,96.7235413,2.70289636,44.4364777
"135","Greene","AR",NA,NA,57,31804,6.5999999,8.60000038,6.9000001,3250,9.10000038,23346,3.79999995,61.2000008,28.5,9.80000019,99.4434662,0.0628851727,38.7435532
"136","Hempstead","AR",NA,NA,30,21621,-7.4000001,8.39999962,8.19999981,5670,9.30000019,20649,3.0999999,61.4000015,26.7999992,11.5,68.8589783,29.8968601,41.2654381
"137","Hot Spring","AR",NA,NA,43,26115,-1.5,9.60000038,7.0999999,2713,9,22546,2.0999999,59.4000015,28.6000004,11.3999996,88.3247147,10.9707069,40.6509666
"138","Howard","AR",NA,NA,23,13569,0.899999976,8.60000038,8.60000038,2075,8.30000019,25308,8.19999981,55.5999985,34.7000008,9.39999962,77.4117508,21.51227,36.6644554
"139","Independence","AR",NA,NA,41,31192,4.80000019,8.10000038,6.5999999,3098,10.3000002,24699,3.79999995,55.2000008,33,11.1999998,97.2813568,1.90754044,41.164402
"140","Izard","AR",NA,NA,20,11364,8.69999981,14.3000002,11.6000004,305,9.39999962,20429,6.30000019,61.2000008,27.3999996,10.8000002,99.1376266,0.0967969,49.1728249
"141","Jackson","AR",NA,NA,30,18944,-12.3000002,9.5,8.19999981,2286,6.69999981,20919,3.79999995,65.6999969,24.7999992,8.89999962,84.8870392,14.5639782,39.7170601
"142","Jefferson","AR",6240,NA,96,85487,-6,7.5,6,7277,14.6000004,26360,0.699999988,68.8000031,23.7000008,6.5,56.006176,43.1375542,37.0723038
"143","Johnson","AR",NA,NA,28,18221,7.30000019,9.19999981,8.10000038,2899,12,21345,4.5,52.0999985,33.7999992,13.3999996,96.7674637,1.69584548,41.5893745
"144","Lafayette","AR",NA,NA,18,9643,-8.5,9.19999981,8.5,1305,6.9000001,18428,3.9000001,57.0999985,29.8999996,12.6999998,61.0183563,38.4838753,41.263092
"145","Lawrence","AR",NA,NA,30,17457,-6,9.80000019,8.89999962,1062,6.0999999,19917,4.4000001,59.7999992,30.7000008,9.19999981,98.6595612,0.504095793,39.6918144
"146","Lee","AR",NA,NA,21,13053,-17.1000004,8.30000019,7.4000001,4655,7.4000001,14213,4.19999981,67.8000031,25.5,6.0999999,41.7451935,57.3584633,38.8110008
"147","Lincoln","AR",NA,NA,25,13690,3.9000001,6.0999999,5.9000001,767,5.5999999,22680,3.4000001,64.5,26.2999992,9,62.8999252,36.0482101,31.7531052
"148","Little River","AR",NA,NA,26,13966,-1.79999995,7.69999981,6.4000001,2895,8.10000038,26314,4.9000001,58.2000008,25.8999996,15.6000004,77.4738617,20.9866829,40.9422874
"149","Logan","AR",NA,NA,29,20557,2.9000001,9,8,1099,6.80000019,22227,5.5999999,46,39.2000008,14,97.6942139,1.32801473,42.25811
"150","Lonoke","AR",4400,NA,53,39268,18.5,6.5,5.0999999,2236,10,28007,3.70000005,50.2999992,39.5,9.80000019,90.1370087,9.00478745,40.2974434
"151","Madison","AR",NA,NA,15,11618,8.39999962,9.19999981,7.19999981,998,8.19999981,20929,13.6999998,45.7999992,42.4000015,11.3000002,98.4248581,0.0258220006,45.4208984
"152","Marion","AR",NA,NA,21,12001,9.80000019,13.5,9.30000019,1140,8,20745,6.69999981,44.0999985,32.4000015,21.2000008,99.1500702,0.0499958321,52.0373306
"153","Miller","AR",8360,NA,62,38467,2.29999995,7.80000019,6.19999981,9636,9.5,25345,1.60000002,48.2000008,36.0999985,15.3999996,76.59552,22.4218159,38.0144005
"154","Mississippi","AR",NA,NA,61,57525,-7.5,6.5,5.19999981,7389,10.5,21467,1.70000005,62.9000015,29.3999996,6.0999999,70.7327271,27.8244247,27.7479362
"155","Monroe","AR",NA,NA,18,11333,-22.6000004,9.60000038,8.39999962,3376,8.39999962,17892,4.19999981,60.2999992,31,8.30000019,60.5488396,39.018795,37.6952248
"156","Montgomery","AR",NA,NA,10,7841,2.5999999,11.3999996,8.5,1972,7,19523,7.80000019,51.2999992,32.5,15.5,98.4313202,0.102027804,47.3409004
"157","Nevada","AR",NA,NA,16,10101,-10.3999996,9.60000038,8.69999981,1197,9.80000019,22304,4.9000001,56.7999992,30.7999992,11.5,67.8744659,31.6404324,39.0852394
